"","var1","var2","cor","p","case","participant_id"
"1","pm1_indoor","pm1_indoor",1,0,"sham","44241"
"2","pm1_outdoor","pm1_indoor",0.1,6.58e-64,"sham","44241"
"3","pm25_indoor","pm1_indoor",0.95,0,"sham","44241"
"4","pm25_outdoor","pm1_indoor",0.055,3.31e-19,"sham","44241"
"5","pm10_indoor","pm1_indoor",0.35,0,"sham","44241"
"6","pm10_outdoor","pm1_indoor",0.0021,0.729,"sham","44241"
"7","pm1num_indoor","pm1_indoor",0.95,0,"sham","44241"
"8","pm1num_outdoor","pm1_indoor",0.28,0,"sham","44241"
"9","temp_indoor","pm1_indoor",-0.12,2.98e-81,"sham","44241"
"10","temp_outdoor","pm1_indoor",-0.1,7.04e-64,"sham","44241"
"11","pm1_ratio","pm1_indoor",0.46,0,"sham","44241"
"12","pm25_ratio","pm1_indoor",0.54,0,"sham","44241"
"13","pm10_ratio","pm1_indoor",0.19,1.02e-203,"sham","44241"
"14","pm1num_ratio","pm1_indoor",0.43,0,"sham","44241"
"15","temp_ratio","pm1_indoor",-0.021,0.000762,"sham","44241"
"16","pm1_indoor","pm1_outdoor",0.1,6.58e-64,"sham","44241"
"17","pm1_outdoor","pm1_outdoor",1,0,"sham","44241"
"18","pm25_indoor","pm1_outdoor",0.13,4.1e-93,"sham","44241"
"19","pm25_outdoor","pm1_outdoor",0.83,0,"sham","44241"
"20","pm10_indoor","pm1_outdoor",0.11,1.15e-72,"sham","44241"
"21","pm10_outdoor","pm1_outdoor",0.09,3.03e-48,"sham","44241"
"22","pm1num_indoor","pm1_outdoor",0.1,4.33e-60,"sham","44241"
"23","pm1num_outdoor","pm1_outdoor",0.75,0,"sham","44241"
"24","temp_indoor","pm1_outdoor",0.0045,0.47,"sham","44241"
"25","temp_outdoor","pm1_outdoor",0.032,1.47e-07,"sham","44241"
"26","pm1_ratio","pm1_outdoor",-0.052,4.39e-17,"sham","44241"
"27","pm25_ratio","pm1_outdoor",-0.046,4.75e-14,"sham","44241"
"28","pm10_ratio","pm1_outdoor",-0.019,0.00159,"sham","44241"
"29","pm1num_ratio","pm1_outdoor",-0.052,5.38e-17,"sham","44241"
"30","temp_ratio","pm1_outdoor",-0.023,0.000205,"sham","44241"
"31","pm1_indoor","pm25_indoor",0.95,0,"sham","44241"
"32","pm1_outdoor","pm25_indoor",0.13,4.1e-93,"sham","44241"
"33","pm25_indoor","pm25_indoor",1,0,"sham","44241"
"34","pm25_outdoor","pm25_indoor",0.11,2.81e-70,"sham","44241"
"35","pm10_indoor","pm25_indoor",0.58,0,"sham","44241"
"36","pm10_outdoor","pm25_indoor",0.05,4.73e-16,"sham","44241"
"37","pm1num_indoor","pm25_indoor",0.93,0,"sham","44241"
"38","pm1num_outdoor","pm25_indoor",0.27,0,"sham","44241"
"39","temp_indoor","pm25_indoor",-0.097,1.71e-55,"sham","44241"
"40","temp_outdoor","pm25_indoor",-0.053,5.96e-18,"sham","44241"
"41","pm1_ratio","pm25_indoor",0.47,0,"sham","44241"
"42","pm25_ratio","pm25_indoor",0.61,0,"sham","44241"
"43","pm10_ratio","pm25_indoor",0.29,0,"sham","44241"
"44","pm1num_ratio","pm25_indoor",0.5,0,"sham","44241"
"45","temp_ratio","pm25_indoor",-0.04,5.52e-11,"sham","44241"
"46","pm1_indoor","pm25_outdoor",0.055,3.31e-19,"sham","44241"
"47","pm1_outdoor","pm25_outdoor",0.83,0,"sham","44241"
"48","pm25_indoor","pm25_outdoor",0.11,2.81e-70,"sham","44241"
"49","pm25_outdoor","pm25_outdoor",1,0,"sham","44241"
"50","pm10_indoor","pm25_outdoor",0.17,4.79e-160,"sham","44241"
"51","pm10_outdoor","pm25_outdoor",0.5,0,"sham","44241"
"52","pm1num_indoor","pm25_outdoor",0.058,4.02e-21,"sham","44241"
"53","pm1num_outdoor","pm25_outdoor",0.63,0,"sham","44241"
"54","temp_indoor","pm25_outdoor",0.1,1.77e-60,"sham","44241"
"55","temp_outdoor","pm25_outdoor",0.21,1.45e-266,"sham","44241"
"56","pm1_ratio","pm25_outdoor",-0.065,7.36e-26,"sham","44241"
"57","pm25_ratio","pm25_outdoor",-0.1,1.67e-62,"sham","44241"
"58","pm10_ratio","pm25_outdoor",-0.061,2.24e-23,"sham","44241"
"59","pm1num_ratio","pm25_outdoor",-0.082,3.79e-40,"sham","44241"
"60","temp_ratio","pm25_outdoor",-0.091,6.55e-50,"sham","44241"
"61","pm1_indoor","pm10_indoor",0.35,0,"sham","44241"
"62","pm1_outdoor","pm10_indoor",0.11,1.15e-72,"sham","44241"
"63","pm25_indoor","pm10_indoor",0.58,0,"sham","44241"
"64","pm25_outdoor","pm10_indoor",0.17,4.79e-160,"sham","44241"
"65","pm10_indoor","pm10_indoor",1,0,"sham","44241"
"66","pm10_outdoor","pm10_indoor",0.14,1.65e-123,"sham","44241"
"67","pm1num_indoor","pm10_indoor",0.37,0,"sham","44241"
"68","pm1num_outdoor","pm10_indoor",0.13,2.68e-105,"sham","44241"
"69","temp_indoor","pm10_indoor",-0.048,4.28e-15,"sham","44241"
"70","temp_outdoor","pm10_indoor",0.039,2.32e-10,"sham","44241"
"71","pm1_ratio","pm10_indoor",0.19,2.35e-213,"sham","44241"
"72","pm25_ratio","pm10_indoor",0.35,0,"sham","44241"
"73","pm10_ratio","pm10_indoor",0.42,0,"sham","44241"
"74","pm1num_ratio","pm10_indoor",0.23,0,"sham","44241"
"75","temp_ratio","pm10_indoor",-0.048,5.74e-15,"sham","44241"
"76","pm1_indoor","pm10_outdoor",0.0021,0.729,"sham","44241"
"77","pm1_outdoor","pm10_outdoor",0.09,3.03e-48,"sham","44241"
"78","pm25_indoor","pm10_outdoor",0.05,4.73e-16,"sham","44241"
"79","pm25_outdoor","pm10_outdoor",0.5,0,"sham","44241"
"80","pm10_indoor","pm10_outdoor",0.14,1.65e-123,"sham","44241"
"81","pm10_outdoor","pm10_outdoor",1,0,"sham","44241"
"82","pm1num_indoor","pm10_outdoor",0.0032,0.609,"sham","44241"
"83","pm1num_outdoor","pm10_outdoor",0.075,6.37e-34,"sham","44241"
"84","temp_indoor","pm10_outdoor",0.0015,0.806,"sham","44241"
"85","temp_outdoor","pm10_outdoor",0.061,2.96e-23,"sham","44241"
"86","pm1_ratio","pm10_outdoor",-0.017,0.00596,"sham","44241"
"87","pm25_ratio","pm10_outdoor",-0.029,3.59e-06,"sham","44241"
"88","pm10_ratio","pm10_outdoor",-0.025,6.37e-05,"sham","44241"
"89","pm1num_ratio","pm10_outdoor",-0.019,0.00267,"sham","44241"
"90","temp_ratio","pm10_outdoor",-0.032,1.36e-07,"sham","44241"
"91","pm1_indoor","pm1num_indoor",0.95,0,"sham","44241"
"92","pm1_outdoor","pm1num_indoor",0.1,4.33e-60,"sham","44241"
"93","pm25_indoor","pm1num_indoor",0.93,0,"sham","44241"
"94","pm25_outdoor","pm1num_indoor",0.058,4.02e-21,"sham","44241"
"95","pm10_indoor","pm1num_indoor",0.37,0,"sham","44241"
"96","pm10_outdoor","pm1num_indoor",0.0032,0.609,"sham","44241"
"97","pm1num_indoor","pm1num_indoor",1,0,"sham","44241"
"98","pm1num_outdoor","pm1num_indoor",0.27,0,"sham","44241"
"99","temp_indoor","pm1num_indoor",-0.1,1.22e-59,"sham","44241"
"100","temp_outdoor","pm1num_indoor",-0.089,4.8e-47,"sham","44241"
"101","pm1_ratio","pm1num_indoor",0.59,0,"sham","44241"
"102","pm25_ratio","pm1num_indoor",0.6,0,"sham","44241"
"103","pm10_ratio","pm1num_indoor",0.22,2.02e-289,"sham","44241"
"104","pm1num_ratio","pm1num_indoor",0.57,0,"sham","44241"
"105","temp_ratio","pm1num_indoor",-0.03,1.19e-06,"sham","44241"
"106","pm1_indoor","pm1num_outdoor",0.28,0,"sham","44241"
"107","pm1_outdoor","pm1num_outdoor",0.75,0,"sham","44241"
"108","pm25_indoor","pm1num_outdoor",0.27,0,"sham","44241"
"109","pm25_outdoor","pm1num_outdoor",0.63,0,"sham","44241"
"110","pm10_indoor","pm1num_outdoor",0.13,2.68e-105,"sham","44241"
"111","pm10_outdoor","pm1num_outdoor",0.075,6.37e-34,"sham","44241"
"112","pm1num_indoor","pm1num_outdoor",0.27,0,"sham","44241"
"113","pm1num_outdoor","pm1num_outdoor",1,0,"sham","44241"
"114","temp_indoor","pm1num_outdoor",-0.054,2.07e-18,"sham","44241"
