"","participant_id","environment","type","case","mean","median","q5","q25","q75","q95","sd"
"1","front","indoor","pm1","off",1.43753131514748,1.323,0.618155,1.0022,1.725125,2.681605,0.642743458895745
"2","front","indoor","pm1","on",1.38627367559158,1.1558,0.1881,0.7093,1.8956,3.36876,0.959803064383433
"3","front","indoor","pm1","redu",3.56567116248465,12.6379440665155,69.5707387305773,29.2257034524047,-9.88189261647706,-25.6247657652786,-49.3291065197936
"4","front","indoor","pm10","off",2.90514792636948,1.8952,0.853155,1.371,3.2586,8.40163,2.8602992691541
"5","front","indoor","pm10","on",2.31466995824122,1.5726,0.2236,0.9522,2.8516,6.99076,2.28126058551184
"6","front","indoor","pm10","redu",20.3252289760741,17.0219501899536,73.791397811652,30.54704595186,12.490026391702,16.792812823226,20.2439894974174
"7","front","indoor","pm25","off",1.80061490352628,1.5955,0.78696,1.224325,2.149,3.415145,0.925686336758834
"8","front","indoor","pm25","on",1.65349201670351,1.3843,0.2161,0.8798,2.2556,4.02898,1.12104548278834
"9","front","indoor","pm25","redu",8.17070249361184,13.2372297085553,72.5399003761309,28.1399955077287,-4.96044671940436,-17.9739074036388,-21.1042486284862
"10","front","outdoor","pm1","off",3.22582786658999,2.9539,0.91354,1.87145,4.2958,6.30434,1.75553968624963
"11","front","outdoor","pm1","on",3.64772668430189,2.9194,0.47486,1.9342,4.7836,9.10472,2.59108415673739
"12","front","outdoor","pm1","redu",-13.078776523742,1.16794745929111,48.0197911421503,-3.3530150418125,-11.3552772475441,-44.41987583157,-47.5947355125153
"13","front","outdoor","pm10","off",10.4043296952271,8.4034,3.08424,5.4949,12.2773,25.61327,8.36450315333535
"14","front","outdoor","pm10","on",8.92726690088452,7.649,0.77538,3.9741,12.5821,20.37866,6.91564456707644
"15","front","outdoor","pm10","redu",14.1966165780022,8.97731870433396,74.8599330791378,27.6765728220714,-2.48263054580405,20.4371015493141,17.3215140182137
"16","front","outdoor","pm25","off",5.8934539160437,5.3334,1.57566,3.5395,7.1576,14.32765,3.51007662078284
"17","front","outdoor","pm25","on",5.60057592791601,5.3087,0.68588,2.8838,7.9458,11.98376,3.42647949941842
"18","front","outdoor","pm25","redu",4.96954743856385,0.463119211009865,56.4703045073176,18.5252154259076,-11.01207108528,16.359207546248,2.38163238002985
"19","front","ratio","pm1","off",0.609957752307227,0.440101840271574,0.191021957453587,0.307431677944176,0.662079458829259,1.74822114077513,0.566553074111386
"20","front","ratio","pm1","on",0.431257158104399,0.379916456429133,0.172726598091009,0.277692070348658,0.519767691976769,0.857065900597924,0.24103092857572
"21","front","ratio","pm1","redu",29.2972084585981,13.6753311018428,9.5776211313421,9.67356643088634,21.4946657768445,50.97497218127,57.4566021102672
"22","front","ratio","pm10","off",0.429504876752298,0.230375367583463,0.0727612249005987,0.130767666534026,0.468682989360807,1.31021332126586,0.844248292568759
"23","front","ratio","pm10","on",0.313558552306404,0.247547427790121,0.0790686322270946,0.153946947576943,0.371107235001272,0.786971993665415,0.282023161879838
"24","front","ratio","pm10","redu",26.995345273521,-7.45394804435276,-8.66863818622159,-17.7255445916251,20.8191371512352,39.9355829396482,66.5947607638343
"25","front","ratio","pm25","off",0.452438670902638,0.285905995236018,0.119169364635503,0.182668443499709,0.528637361784973,1.3250145890931,0.504030216283862
"26","front","ratio","pm25","on",0.339507840568766,0.300023505905859,0.116643227332513,0.200603050727208,0.424130477500491,0.702743844850657,0.202079032597066
"27","front","ratio","pm25","redu",24.960472567159,-4.93781554254813,2.1197875063923,-9.81812013279026,19.7691067335099,46.9633126581914,59.9073575217447
"28","infant","indoor","concent","off",2930.59544983353,1789.675,449.933083333333,700.734583333333,3992.425,9334.80833333332,3149.93644357962
"29","infant","indoor","concent","on",1807.53388999509,1386.65,537.414583333334,815.415416666667,2382.925,4552.7575,1311.85091755225
