"","var1","var2","cor","p","case","participant_id"
"1","concent_indoor","concent_indoor",1,0,"sham","41271"
"2","concent_outdoor","concent_indoor",0.31,0,"sham","41271"
"3","concent_ratio","concent_indoor",0.77,0,"sham","41271"
"4","inlttmp_indoor","concent_indoor",-0.27,0,"sham","41271"
"5","inlttmp_outdoor","concent_indoor",-0.26,0,"sham","41271"
"6","inlttmp_ratio","concent_indoor",0.1,0,"sham","41271"
"7","concent_indoor","concent_outdoor",0.31,0,"sham","41271"
"8","concent_outdoor","concent_outdoor",1,0,"sham","41271"
"9","concent_ratio","concent_outdoor",-0.15,0,"sham","41271"
"10","inlttmp_indoor","concent_outdoor",-0.17,0,"sham","41271"
"11","inlttmp_outdoor","concent_outdoor",-0.18,0,"sham","41271"
"12","inlttmp_ratio","concent_outdoor",0.16,0,"sham","41271"
"13","concent_indoor","concent_ratio",0.77,0,"sham","41271"
"14","concent_outdoor","concent_ratio",-0.15,0,"sham","41271"
"15","concent_ratio","concent_ratio",1,0,"sham","41271"
"16","inlttmp_indoor","concent_ratio",-0.19,0,"sham","41271"
"17","inlttmp_outdoor","concent_ratio",-0.18,0,"sham","41271"
"18","inlttmp_ratio","concent_ratio",0.027,1.04e-100,"sham","41271"
"19","concent_indoor","inlttmp_indoor",-0.27,0,"sham","41271"
"20","concent_outdoor","inlttmp_indoor",-0.17,0,"sham","41271"
"21","concent_ratio","inlttmp_indoor",-0.19,0,"sham","41271"
"22","inlttmp_indoor","inlttmp_indoor",1,0,"sham","41271"
"23","inlttmp_outdoor","inlttmp_indoor",1,0,"sham","41271"
"24","inlttmp_ratio","inlttmp_indoor",-0.7,0,"sham","41271"
"25","concent_indoor","inlttmp_outdoor",-0.26,0,"sham","41271"
"26","concent_outdoor","inlttmp_outdoor",-0.18,0,"sham","41271"
"27","concent_ratio","inlttmp_outdoor",-0.18,0,"sham","41271"
"28","inlttmp_indoor","inlttmp_outdoor",1,0,"sham","41271"
"29","inlttmp_outdoor","inlttmp_outdoor",1,0,"sham","41271"
